date,goldp
2003-11-01,5884.18
2003-12-01,6132.51
2004-01-01,6223.32
2004-02-01,6081.29
2004-03-01,6032.37
2004-04-01,5902.73
2004-05-01,5732.31
2004-06-01,5855.26
2004-07-01,6001.5
2004-08-01,6086.22
2004-09-01,6132.29
2004-10-01,6272.09
2004-11-01,6463.56
2004-12-01,6423.59
2005-01-01,6133.37
2005-02-01,6099.13
2005-03-01,6237.06
2005-04-01,6202.61
2005-05-01,6056.98
2005-06-01,6181.29
2005-07-01,6087.64
2005-08-01,5738.97
2005-09-01,6583.64
2005-10-01,6821.65
2005-11-01,7107.17
2005-12-01,7624.1
2006-01-01,7941.23
2006-02-01,8018.16
2006-03-01,8112.95
2006-04-01,9055.95
2006-05-01,10048.49
2006-06-01,8993.27
2006-07-01,9611.2
2006-08-01,9683.53
2006-09-01,9047
2006-10-01,8809.65
2006-11-01,9150.1
2006-12-01,9256.87
2007-01-01,9090.71
2007-02-01,9589.74
2007-03-01,9403.5
2007-04-01,9442.01
2007-05-01,8923.45
2007-06-01,8796.65
2007-07-01,8763.53
2007-08-01,8867.74
2007-09-01,9340.2
2007-10-01,9699.01
2007-11-01,10273.67
2007-12-01,10297.75
2008-01-01,11263.45
2008-02-01,11774.79
2008-03-01,12554.32
2008-04-01,11789.38
2008-05-01,12116.98
2008-06-01,12350.31
2008-07-01,13037.99
2008-08-01,11805.17
2008-09-01,12273.34
2008-10-01,12736.15
2008-11-01,12084.21
2008-12-01,12837.27
2009-01-01,13474.71
2009-02-01,14912.04
2009-03-01,15256.39
2009-04-01,14450.24
2009-05-01,14543.05
2009-06-01,14631.97
2009-07-01,14682.79
2009-08-01,14922
2009-09-01,15690.97
2009-10-01,15855.3
2009-11-01,17101.92
2009-12-01,17222.07
2010-01-01,16696.9
2010-02-01,16516.16
2010-03-01,16602.01
2010-04-01,16748.32
2010-05-01,17984.35
2010-06-01,18722.85
2010-07-01,18265.4
2010-08-01,18509.24
2010-09-01,19103.68
2010-10-01,19583.55
2010-11-01,20162.13
2010-12-01,20628.66
2011-01-01,20253.88
2011-02-01,20495.05
2011-03-01,20919.54
2011-04-01,21635.71
2011-05-01,22189.03
2011-06-01,22465.34
2011-07-01,22824.97
2011-08-01,26268.63
2011-09-01,27471.55
2011-10-01,26742.87
2011-11-01,28560.84
2011-12-01,28188.29
2012-01-01,27692.52
2012-02-01,28357.57
2012-03-01,27961.04
2012-04-01,28622.32
2012-05-01,28823.41
2012-06-01,29912.06
2012-07-01,29554.97
2012-08-01,30366.65
2012-09-01,31706.28
2012-10-01,31208.85
2012-11-01,31592.91
2012-12-01,31130.5
2013-01-01,30754.81
2013-02-01,30205.77
2013-03-01,29599.85
2013-04-01,27449.18
2013-05-01,26551.51
2013-06-01,27066.7
2013-07-01,26893.88
2013-08-01,30386.25
2013-09-01,30798.54
2013-10-01,29590.1
2013-11-01,30000.51
2013-12-01,28891.53
2014-01-01,29095.65
